	4275	4277	4279	4280	4280a	4281
ENSG00000263935	1	0	0	0	0	0
ENSG00000263938	0	0	0	0	0	0
ENSG00000263940	0	0	0	0	1	0
ENSG00000263941	5	10	4	7	3	12
ENSG00000263944	0	0	0	0	0	0
ENSG00000263945	0	0	0	0	0	0
ENSG00000263946	0	3	0	1	0	1
ENSG00000263952	0	0	0	0	0	0
ENSG00000263955	0	0	0	0	0	0
ENSG00000263956	794	772	944	802	634	339
ENSG00000263958	0	0	0	0	0	2
ENSG00000263961	19	21	24	11	17	26
ENSG00000263963	1	0	1	5	0	4
ENSG00000263964	0	0	0	0	0	0
ENSG00000263967	0	0	0	0	0	0
ENSG00000263968	1	5	11	8	5	3
ENSG00000263969	0	0	0	0	0	0
ENSG00000263970	0	0	0	0	0	0
ENSG00000263972	0	0	0	0	0	0
ENSG00000263973	0	0	0	0	0	0
ENSG00000263974	0	0	0	0	0	0
ENSG00000263976	0	0	0	0	0	0
ENSG00000263978	0	0	0	0	0	0
ENSG00000263979	0	0	2	0	2	0
ENSG00000263981	0	0	0	0	0	0
ENSG00000263982	0	0	0	0	0	0
ENSG00000263986	0	0	0	0	0	0
ENSG00000263987	0	0	0	0	0	0
ENSG00000263988	0	0	0	0	0	0
ENSG00000263989	0	0	0	0	0	0
ENSG00000263990	0	0	0	0	0	0
ENSG00000263993	0	0	0	0	0	0
ENSG00000263999	0	0	1	0	0	0
ENSG00000264000	1	1	0	0	0	1
ENSG00000264002	0	0	0	0	0	0
ENSG00000264004	1	0	0	0	0	0
ENSG00000264005	0	0	1	0	0	0
ENSG00000264006	2	0	3	8	14	3
ENSG00000264007	1	0	2	2	0	0
ENSG00000264010	0	0	0	0	0	0
ENSG00000264012	0	0	0	0	0	0
ENSG00000264013	0	0	0	0	0	0
ENSG00000264014	0	0	0	0	0	0
ENSG00000264015	0	0	0	0	0	0
ENSG00000264016	0	0	0	0	0	0
ENSG00000264017	26	21	31	12	20	57
ENSG00000264019	0	0	0	0	0	0
ENSG00000264023	2	3	3	1	1	2
ENSG00000264024	0	0	0	0	2	0
ENSG00000264026	0	0	0	1	0	0
ENSG00000264028	0	0	0	1	1	0
ENSG00000264029	0	0	1	0	0	0
ENSG00000264030	0	0	0	0	0	0
ENSG00000264031	10	14	16	9	22	19
ENSG00000264032	0	0	0	0	0	0
ENSG00000264036	0	0	0	0	0	0
ENSG00000264037	0	0	0	0	0	0
ENSG00000264040	0	0	0	0	0	0
ENSG00000264041	0	0	0	0	1	0
ENSG00000264044	1	0	0	0	0	0
ENSG00000264047	0	0	0	0	0	0
ENSG00000264049	0	1	2	0	0	0
ENSG00000264050	0	1	0	0	0	0
ENSG00000264054	0	0	0	0	0	0
ENSG00000264056	0	0	0	0	0	0
ENSG00000264057	7	7	11	12	9	0
ENSG00000264058	0	0	0	0	0	0
ENSG00000264060	0	0	0	0	0	0
ENSG00000264061	0	0	0	0	0	0
ENSG00000264063	0	2	0	0	1	2
ENSG00000264066	0	0	0	0	0	1
ENSG00000264067	0	0	0	0	0	0
ENSG00000264069	0	0	0	0	0	0
ENSG00000264070	11	5	14	0	3	15
ENSG00000264071	0	0	0	0	0	0
ENSG00000264072	0	0	0	0	0	0
ENSG00000264073	0	0	0	0	0	0
ENSG00000264075	0	0	1	0	1	0
ENSG00000264078	1	0	0	2	0	1
ENSG00000264080	0	0	0	0	0	0
ENSG00000264083	7	7	11	22	18	4
ENSG00000264084	0	0	0	0	0	0
ENSG00000264089	0	0	0	0	0	0
ENSG00000264090	0	0	0	0	0	0
ENSG00000264092	0	0	0	0	0	0
ENSG00000264093	0	0	0	0	0	0
ENSG00000264099	0	0	0	0	0	0
ENSG00000264101	0	2	0	0	0	0
ENSG00000264102	0	0	0	0	0	0
ENSG00000264104	0	0	0	2	0	0
ENSG00000264105	0	0	0	0	0	0
ENSG00000264107	2	8	6	4	13	13
ENSG00000264108	0	0	0	0	1	0
ENSG00000264110	0	0	0	0	0	1
ENSG00000264112	2143	1895	2581	2925	2568	1165
ENSG00000264113	0	0	0	0	0	0
ENSG00000264115	0	1	1	1	0	0
ENSG00000264116	0	0	0	0	0	0
ENSG00000264119	0	0	0	0	0	0
ENSG00000264125	2	5	7	11	6	4
ENSG00000264127	0	0	0	0	0	0
ENSG00000264128	0	0	0	0	0	0
ENSG00000264131	0	0	0	0	0	0
ENSG00000264136	0	0	0	0	0	0
ENSG00000264138	0	0	1	0	0	0
ENSG00000264139	0	0	0	0	0	0
ENSG00000264141	0	0	0	0	0	0
ENSG00000264145	0	0	0	0	0	0
ENSG00000264148	4	3	8	8	2	4
ENSG00000264149	0	0	0	0	0	0
ENSG00000264150	0	0	0	0	0	0
ENSG00000264151	0	0	0	0	0	0
ENSG00000264157	7	9	3	3	3	1
ENSG00000264158	0	0	0	0	0	0
ENSG00000264160	0	2	0	0	0	0
ENSG00000264163	0	0	0	0	0	0
ENSG00000264164	0	1	0	0	1	1
ENSG00000264167	0	0	0	0	0	2
ENSG00000264168	0	0	0	0	0	0
ENSG00000264169	0	0	0	0	0	0
ENSG00000264171	0	0	0	0	0	0
ENSG00000264172	0	0	0	0	0	0
ENSG00000264174	0	0	0	0	0	0
ENSG00000264175	1	0	0	0	0	0
ENSG00000264176	0	1	0	1	0	0
ENSG00000264177	0	0	0	0	1	0
ENSG00000264179	0	0	0	1	0	0
ENSG00000264186	0	0	0	0	0	0
ENSG00000264187	1	0	0	1	0	0
ENSG00000264188	0	1	3	1	4	2
ENSG00000264189	0	0	0	0	0	0
ENSG00000264192	0	0	0	0	0	0
ENSG00000264193	0	0	0	0	0	0
ENSG00000264196	0	0	0	0	0	0
ENSG00000264200	0	0	0	0	0	0
ENSG00000264201	0	0	0	0	0	0
ENSG00000264204	14	36	23	26	32	35
ENSG00000264207	0	1	2	1	3	2
ENSG00000264210	0	0	0	0	0	0
ENSG00000264211	0	0	2	0	0	0
ENSG00000264212	0	0	0	0	0	0
ENSG00000264215	0	0	0	0	1	0
ENSG00000264217	0	0	0	0	0	0
ENSG00000264226	0	0	0	0	0	0
ENSG00000264229	42	73	71	87	62	71
ENSG00000264230	1	4	1	5	1	0
ENSG00000264232	0	0	0	0	0	0
ENSG00000264233	0	0	0	0	0	0
ENSG00000264235	6	13	12	12	14	16
ENSG00000264236	0	0	0	0	0	0
ENSG00000264240	0	0	0	0	0	0
ENSG00000264242	0	2	0	3	0	0
ENSG00000264243	0	0	0	0	0	0
ENSG00000264245	0	0	0	0	0	0
ENSG00000264246	0	0	0	0	0	0
ENSG00000264247	474	519	365	462	454	325
ENSG00000264249	0	1	0	0	0	1
ENSG00000264250	0	0	0	0	0	0
ENSG00000264251	0	0	0	0	0	0
ENSG00000264254	1	0	0	2	0	0
ENSG00000264257	0	0	0	0	0	0
ENSG00000264260	0	0	0	0	0	0
ENSG00000264262	0	0	0	0	0	0
ENSG00000264263	0	0	0	0	0	0
ENSG00000264265	0	0	0	0	0	0
ENSG00000264266	0	0	0	0	0	0
ENSG00000264268	0	0	3	0	0	0
ENSG00000264269	0	0	1	0	0	1
ENSG00000264270	0	0	0	0	0	0
ENSG00000264271	0	0	0	0	0	0
ENSG00000264272	0	0	0	0	0	0
ENSG00000264273	0	1	0	0	0	0
ENSG00000264274	0	0	0	0	0	0
ENSG00000264275	0	1	0	0	0	1
ENSG00000264278	32	24	24	43	49	17
ENSG00000264279	2	0	2	1	4	4
ENSG00000264281	361	440	533	719	949	523
ENSG00000264289	0	0	0	0	0	0
ENSG00000264290	6	10	16	17	20	2
ENSG00000264292	2	0	1	0	0	3
ENSG00000264293	0	0	0	0	0	0
ENSG00000264294	0	0	0	0	0	0
ENSG00000264295	0	0	0	0	0	0
ENSG00000264296	0	0	0	0	0	0
ENSG00000264297	0	0	0	0	0	0
ENSG00000264300	1	0	1	0	2	0
ENSG00000264301	0	0	0	0	0	0
ENSG00000264304	0	0	0	0	0	0
ENSG00000264309	0	0	0	0	0	0
ENSG00000264311	0	0	0	0	0	0
ENSG00000264313	0	0	0	0	0	0
ENSG00000264314	0	2	1	0	3	0
ENSG00000264315	0	0	0	0	0	0
ENSG00000264316	0	0	0	0	0	0
ENSG00000264317	0	0	0	0	0	0
ENSG00000264319	0	0	0	0	0	0
ENSG00000264322	0	0	0	1	0	0
ENSG00000264324	3	1	4	6	4	2
ENSG00000264330	0	0	0	0	0	0
ENSG00000264334	0	0	0	0	0	0
ENSG00000264339	0	0	0	0	0	0
ENSG00000264340	0	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0
ENSG00000264342	0	0	0	0	1	0
ENSG00000264343	10	24	17	17	15	7
ENSG00000264345	0	0	0	0	0	0
ENSG00000264346	0	0	0	0	0	0
ENSG00000264349	4	2	2	1	2	6
ENSG00000264350	1	0	2	1	4	2
ENSG00000264352	0	0	0	0	0	0
ENSG00000264354	1	1	1	4	2	0
ENSG00000264357	4	2	3	3	1	0
ENSG00000264358	0	0	0	0	0	0
ENSG00000264359	0	0	0	0	0	0
ENSG00000264364	2102	2845	2635	2673	2673	2351
ENSG00000264365	0	0	0	0	0	0
ENSG00000264370	4	1	5	0	0	0
ENSG00000264371	2	0	0	1	1	2
ENSG00000264373	0	0	0	0	0	0
ENSG00000264377	0	0	0	0	1	0
ENSG00000264379	0	0	0	0	0	0
ENSG00000264384	8	12	13	7	1	4
ENSG00000264386	0	0	0	0	0	0
ENSG00000264387	0	0	0	0	0	0
ENSG00000264388	0	0	0	0	0	0
ENSG00000264390	0	0	0	0	0	0
ENSG00000264391	0	0	0	0	0	0
ENSG00000264395	0	0	0	0	1	0
ENSG00000264397	0	0	0	0	0	0
ENSG00000264399	0	0	0	1	0	1
ENSG00000264400	1	1	0	0	0	0
ENSG00000264402	0	0	0	0	0	0
ENSG00000264404	0	0	0	0	0	0
ENSG00000264405	0	0	0	0	0	0
ENSG00000264406	0	0	0	0	0	0
ENSG00000264408	0	0	0	2	1	0
ENSG00000264419	1	0	0	1	1	1
ENSG00000264421	0	0	0	0	0	0
ENSG00000264422	0	0	0	0	0	0
ENSG00000264423	0	0	0	0	0	0
ENSG00000264424	0	0	0	1	0	0
ENSG00000264425	0	0	0	0	0	0
ENSG00000264426	0	0	0	0	0	0
ENSG00000264429	0	1	1	1	0	0
ENSG00000264431	0	0	0	0	0	0
ENSG00000264434	0	0	0	0	0	0
ENSG00000264435	1	0	0	0	0	0
ENSG00000264438	0	0	0	0	0	0
ENSG00000264443	0	0	1	0	2	0
ENSG00000264444	0	0	0	0	0	0
ENSG00000264448	0	4	0	1	2	2
ENSG00000264449	0	0	0	0	0	0
ENSG00000264451	0	0	0	0	0	0
ENSG00000264452	0	0	0	0	0	0
ENSG00000264456	6	24	19	12	10	6
ENSG00000264458	0	0	0	0	0	0
ENSG00000264462	0	0	4	3	8	0
ENSG00000264464	0	0	0	0	0	0
ENSG00000264468	0	2	1	1	2	0
ENSG00000264470	0	0	0	0	0	0
ENSG00000264472	0	0	0	0	0	0
ENSG00000264474	0	0	0	0	0	0
ENSG00000264475	0	0	0	0	0	0
ENSG00000264477	0	0	0	0	0	0
ENSG00000264480	0	0	0	0	0	2
ENSG00000264482	0	0	0	0	0	0
ENSG00000264483	0	0	0	0	1	0
ENSG00000264484	2	5	3	1	1	1
ENSG00000264486	0	0	0	0	0	0
ENSG00000264488	0	0	0	0	0	0
ENSG00000264490	0	0	1	0	0	0
ENSG00000264491	0	0	0	0	1	0
ENSG00000264493	0	0	0	0	0	0
ENSG00000264494	0	0	0	0	0	0
ENSG00000264497	0	0	0	0	0	0
ENSG00000264500	0	0	1	0	0	0
ENSG00000264501	0	0	0	0	0	0
ENSG00000264503	0	0	0	0	0	0
ENSG00000264511	0	0	0	0	0	0
ENSG00000264512	0	0	0	0	0	0
ENSG00000264513	0	0	0	0	0	0
ENSG00000264514	0	0	0	0	0	0
ENSG00000264515	0	0	1	0	1	0
ENSG00000264519	0	0	0	0	0	0
ENSG00000264520	0	0	0	0	0	0
ENSG00000264522	163	197	378	550	519	135
ENSG00000264525	0	0	0	0	0	0
ENSG00000264529	0	1	0	1	0	1
ENSG00000264530	0	1	0	0	0	1
ENSG00000264534	0	0	0	0	0	0
ENSG00000264536	0	1	0	0	0	1
ENSG00000264538	277	271	285	275	346	259
ENSG00000264539	0	1	3	0	0	2
ENSG00000264540	0	0	0	0	0	0
ENSG00000264545	0	0	0	0	0	0
ENSG00000264546	6	1	6	5	2	5
ENSG00000264548	8	34	13	22	17	32
ENSG00000264549	0	0	0	0	0	0
ENSG00000264553	0	0	0	0	0	0
ENSG00000264554	0	0	0	0	0	0
ENSG00000264558	2	8	8	2	18	6
ENSG00000264559	1	1	2	1	0	1
ENSG00000264562	0	0	0	0	0	0
ENSG00000264563	0	0	0	0	0	0
ENSG00000264564	0	0	0	0	0	0
ENSG00000264566	0	0	1	0	0	0
ENSG00000264569	1	0	3	0	0	2
ENSG00000264570	0	2	0	0	0	0
ENSG00000264571	0	0	0	0	0	0
ENSG00000264572	0	0	1	0	0	0
ENSG00000264573	0	0	0	1	0	0
ENSG00000264574	0	0	0	0	1	0
ENSG00000264575	31	20	27	32	26	16
ENSG00000264577	5	3	3	5	7	1
ENSG00000264578	3	0	0	3	1	3
ENSG00000264580	0	0	0	0	0	0
ENSG00000264582	0	0	0	0	0	0
ENSG00000264583	0	0	0	0	0	0
ENSG00000264585	0	1	1	0	5	0
ENSG00000264587	0	0	0	0	1	0
ENSG00000264589	0	0	0	0	0	1
ENSG00000264592	0	0	0	0	0	0
ENSG00000264595	0	0	1	0	0	0
ENSG00000264596	0	0	0	0	0	0
ENSG00000264598	0	0	0	0	0	0
ENSG00000264603	0	0	1	0	0	0
ENSG00000264607	1	1	2	0	1	1
ENSG00000264608	22	41	33	41	50	37
ENSG00000264610	0	2	2	0	1	0
ENSG00000264613	0	0	0	0	0	0
ENSG00000264614	0	0	0	0	0	0
ENSG00000264615	0	0	0	0	0	0
ENSG00000264616	2	2	5	0	0	5
ENSG00000264617	0	0	0	0	0	0
ENSG00000264618	0	0	0	0	1	0
ENSG00000264621	0	0	0	0	0	0
ENSG00000264622	0	0	0	1	0	0
ENSG00000264623	0	0	0	0	0	0
ENSG00000264630	0	1	0	1	0	0
ENSG00000264633	1	0	0	0	1	0
ENSG00000264634	0	0	0	0	0	0
ENSG00000264635	1	2	11	10	4	1
ENSG00000264638	0	0	0	0	0	0
ENSG00000264643	0	0	0	0	0	0
ENSG00000264644	0	0	0	0	0	0
ENSG00000264647	0	0	0	0	0	0
ENSG00000264653	12	13	14	7	8	27
ENSG00000264655	1	0	0	0	0	0
ENSG00000264657	0	0	0	0	0	0
ENSG00000264658	0	0	0	0	0	0
ENSG00000264659	2	17	6	1	0	2
ENSG00000264660	0	0	0	0	0	0
ENSG00000264661	0	0	0	0	0	0
ENSG00000264662	0	0	0	0	0	0
ENSG00000264663	4	9	12	6	9	5
ENSG00000264666	0	1	0	0	1	0
ENSG00000264668	0	0	0	0	0	0
ENSG00000264672	0	0	1	1	0	0
ENSG00000264673	0	1	0	0	1	0
ENSG00000264675	0	0	0	2	0	0
ENSG00000264676	0	0	0	0	0	0
ENSG00000264678	0	1	3	1	1	3
ENSG00000264684	0	1	1	0	0	1
ENSG00000264685	0	0	0	0	0	0
ENSG00000264689	0	0	0	0	0	0
ENSG00000264693	0	1	0	0	0	0
ENSG00000264695	1	2	0	2	3	3
ENSG00000264697	0	0	0	0	0	0
ENSG00000264698	0	0	0	0	0	0
ENSG00000264699	0	0	0	0	0	0
ENSG00000264701	0	0	0	0	0	0
ENSG00000264703	0	0	0	0	0	0
ENSG00000264705	0	0	0	0	0	0
ENSG00000264706	0	0	0	0	0	0
ENSG00000264707	1	1	1	1	3	0
ENSG00000264712	0	0	0	0	0	0
ENSG00000264714	0	0	0	0	0	0
ENSG00000264717	0	0	0	0	0	0
ENSG00000264720	0	0	0	0	0	0
ENSG00000264722	0	0	0	0	0	0
ENSG00000264725	0	0	0	0	0	0
ENSG00000264727	0	0	0	0	0	0
ENSG00000264729	0	0	0	0	0	0
ENSG00000264732	0	0	0	0	0	0
ENSG00000264733	0	0	0	0	0	0
ENSG00000264734	0	0	0	0	0	0
ENSG00000264735	2	3	0	0	0	0
ENSG00000264736	0	0	0	0	0	0
ENSG00000264737	1	1	2	6	3	2
ENSG00000264739	1	4	4	3	8	5
ENSG00000264741	0	0	0	0	0	0
ENSG00000264743	4	4	9	1	4	7
ENSG00000264744	0	0	0	0	0	0
ENSG00000264745	9	24	22	24	35	19
ENSG00000264747	0	0	0	0	0	0
ENSG00000264750	1	0	0	0	0	0
ENSG00000264754	1	2	3	0	0	0
ENSG00000264755	0	0	0	0	0	0
ENSG00000264757	10	14	4	7	1	14
ENSG00000264760	0	0	0	0	0	0
ENSG00000264763	0	0	0	0	0	0
ENSG00000264764	7	7	39	22	6	1
ENSG00000264765	0	0	0	0	0	0
ENSG00000264767	0	0	0	0	0	0
ENSG00000264769	0	2	0	0	0	0
ENSG00000264772	2	1	0	1	2	2
ENSG00000264773	25	24	18	30	21	17
ENSG00000264775	0	0	0	0	0	0
ENSG00000264781	2	5	9	5	3	2
ENSG00000264785	0	0	0	0	0	0
ENSG00000264788	1	0	0	0	0	0
ENSG00000264790	0	0	0	0	0	0
ENSG00000264791	0	0	0	0	0	0
ENSG00000264792	0	0	0	1	0	0
ENSG00000264793	0	0	0	0	0	0
ENSG00000264796	0	2	1	3	1	0
ENSG00000264800	0	0	0	0	0	0
ENSG00000264801	1	0	2	0	1	0
ENSG00000264802	0	0	0	0	0	0
ENSG00000264803	0	0	0	0	0	0
ENSG00000264808	0	3	2	3	2	3
ENSG00000264809	0	0	0	0	0	0
ENSG00000264810	2	1	2	3	3	0
ENSG00000264811	0	0	0	0	0	0
ENSG00000264812	2	3	4	3	2	2
ENSG00000264813	0	0	0	0	0	0
ENSG00000264814	0	1	1	0	0	0
ENSG00000264823	0	0	0	0	0	0
ENSG00000264824	0	0	0	0	0	0
ENSG00000264825	0	0	0	1	0	0
ENSG00000264829	0	0	0	0	0	0
ENSG00000264833	0	0	0	0	0	0
ENSG00000264834	0	0	0	0	0	0
ENSG00000264837	0	0	0	0	0	0
ENSG00000264840	0	0	0	0	1	0
ENSG00000264843	0	0	0	0	0	0
ENSG00000264845	0	0	0	0	0	0
ENSG00000264850	0	0	0	0	0	0
ENSG00000264853	25	21	26	8	18	26
ENSG00000264857	8	1	4	6	7	5
ENSG00000264859	0	0	0	0	0	0
ENSG00000264860	0	0	0	0	0	0
ENSG00000264862	1	0	0	0	1	1
ENSG00000264864	2	0	0	0	0	2
ENSG00000264869	0	0	0	0	0	0
ENSG00000264874	0	0	0	0	0	0
ENSG00000264876	0	0	0	0	0	0
ENSG00000264879	0	0	0	0	0	0
ENSG00000264880	0	0	0	0	0	0
ENSG00000264881	1	0	0	0	0	0
ENSG00000264885	63	70	74	56	65	16
ENSG00000264892	0	0	0	0	0	0
ENSG00000264895	19	24	19	18	12	40
ENSG00000264897	0	0	0	0	0	0
ENSG00000264901	0	0	0	0	0	0
ENSG00000264902	0	0	0	0	0	0
ENSG00000264906	1	0	0	0	0	0
ENSG00000264907	0	0	0	0	0	0
ENSG00000264910	0	0	0	0	0	0
ENSG00000264911	0	0	0	0	1	0
ENSG00000264914	0	0	0	0	0	0
ENSG00000264916	0	1	1	1	0	2
ENSG00000264920	18	54	43	72	72	26
ENSG00000264922	0	0	0	0	0	1
ENSG00000264924	0	0	0	2	0	0
ENSG00000264926	0	0	0	0	0	0
ENSG00000264930	0	0	0	0	0	0
ENSG00000264931	2	2	3	1	4	3
ENSG00000264932	0	0	0	0	0	0
ENSG00000264933	0	0	0	0	0	0
ENSG00000264934	0	0	0	0	0	0
ENSG00000264937	4	4	0	3	2	3
ENSG00000264940	3	6	11	45	38	7
ENSG00000264941	0	0	0	0	0	1
ENSG00000264943	0	0	0	0	0	0
ENSG00000264947	39	45	38	59	35	14
ENSG00000264954	31	30	32	26	29	18
ENSG00000264956	0	0	0	0	0	0
ENSG00000264958	1	0	0	0	0	0
ENSG00000264961	1	2	2	0	0	0
ENSG00000264963	0	0	0	0	0	0
ENSG00000264964	7	10	2	2	3	4
ENSG00000264966	1	4	1	0	2	6
ENSG00000264968	5	5	16	12	5	4
ENSG00000264970	0	0	0	1	0	0
ENSG00000264971	0	0	0	0	0	0
ENSG00000264974	0	0	0	0	0	0
ENSG00000264975	0	0	0	0	0	0
ENSG00000264978	0	0	0	0	0	0
ENSG00000264979	0	0	0	0	0	0
ENSG00000264981	0	0	0	0	0	0
ENSG00000264982	0	0	0	3	0	0
ENSG00000264984	0	0	0	0	0	0
ENSG00000264985	0	0	0	1	0	0
ENSG00000264986	0	0	0	0	0	0
ENSG00000264990	0	0	0	0	0	0
ENSG00000264994	0	0	0	1	0	0
ENSG00000264997	0	0	0	0	0	0
ENSG00000264999	1	0	1	3	1	1
ENSG00000265000	0	0	0	2	0	0
ENSG00000265003	0	0	0	0	0	0
ENSG00000265005	0	0	0	0	0	0
ENSG00000265007	0	0	0	0	0	0
ENSG00000265008	22	27	31	21	37	24
ENSG00000265010	2	0	1	0	0	0
ENSG00000265014	0	0	1	0	0	0
ENSG00000265015	0	0	0	0	0	0
ENSG00000265018	1	75	21	1	3	5
ENSG00000265019	0	0	0	0	0	0
ENSG00000265028	0	0	0	0	0	0
ENSG00000265031	0	0	0	0	1	0
ENSG00000265033	0	0	0	0	0	0
ENSG00000265038	0	0	0	1	0	0
ENSG00000265041	0	0	0	0	0	0
ENSG00000265043	1	0	0	0	0	0
ENSG00000265046	0	0	0	0	0	0
ENSG00000265052	0	0	0	0	0	0
ENSG00000265055	0	0	0	0	0	0
ENSG00000265056	0	1	0	0	2	0
ENSG00000265057	0	0	0	0	0	0
ENSG00000265060	1	0	0	0	0	0
ENSG00000265061	0	0	0	0	0	0
ENSG00000265064	0	0	0	0	0	0
ENSG00000265069	0	1	0	0	0	0
ENSG00000265073	2	1	0	0	0	0
ENSG00000265075	0	0	0	0	0	0
ENSG00000265078	0	0	0	0	0	0
ENSG00000265083	0	0	0	0	0	0
ENSG00000265089	2	1	0	0	0	1
ENSG00000265091	1	0	0	0	0	0
ENSG00000265092	0	0	0	0	0	0
ENSG00000265093	3	0	3	1	5	2
ENSG00000265094	0	0	0	1	0	0
ENSG00000265095	0	1	0	0	1	1
ENSG00000265096	0	0	0	0	0	0
ENSG00000265097	0	0	0	2	1	0
ENSG00000265098	0	0	0	0	0	0
ENSG00000265099	0	0	0	0	0	0
ENSG00000265100	8	11	13	22	17	22
ENSG00000265101	0	0	0	0	0	0
ENSG00000265102	0	0	1	1	0	0
ENSG00000265107	0	0	0	0	0	0
ENSG00000265110	0	0	0	0	0	0
ENSG00000265112	3	4	2	2	3	1
ENSG00000265113	0	0	0	1	0	0
ENSG00000265114	0	0	0	0	0	0
ENSG00000265115	0	0	0	0	0	0
ENSG00000265118	3	2	3	4	2	2
ENSG00000265121	0	0	0	0	2	0
ENSG00000265123	2	4	3	3	1	13
ENSG00000265125	0	0	0	0	0	1
ENSG00000265126	0	0	0	0	0	0
ENSG00000265128	0	0	0	1	0	0
ENSG00000265134	1	4	4	12	14	6
ENSG00000265135	0	0	0	0	0	0
ENSG00000265136	0	0	1	3	0	1
ENSG00000265137	3	0	1	2	0	0
ENSG00000265139	0	0	0	0	0	0
ENSG00000265140	0	0	0	0	0	0
ENSG00000265141	0	0	0	0	0	0
ENSG00000265142	0	0	0	1	0	0
ENSG00000265144	0	1	0	0	0	0
ENSG00000265145	0	0	2	2	1	1
ENSG00000265148	573	610	983	812	776	787
ENSG00000265154	0	0	0	0	0	0
ENSG00000265158	0	0	0	0	0	0
ENSG00000265160	0	0	0	0	0	0
ENSG00000265163	0	0	0	0	0	0
ENSG00000265164	0	0	0	0	0	0
ENSG00000265165	0	0	0	0	0	0
ENSG00000265168	3	0	0	2	0	0
ENSG00000265170	0	0	0	0	0	0
ENSG00000265172	0	0	0	0	0	0
ENSG00000265174	0	0	0	0	0	0
ENSG00000265176	0	0	0	0	0	0
ENSG00000265178	1	1	0	0	0	0
ENSG00000265179	0	0	0	0	0	0
ENSG00000265180	0	0	0	0	0	0
ENSG00000265181	0	0	0	0	0	0
ENSG00000265182	0	0	0	0	0	0
ENSG00000265185	285	431	10	114	106	514
ENSG00000265188	28	16	19	20	16	10
ENSG00000265190	0	3	0	4	3	0
ENSG00000265193	0	0	0	0	0	0
ENSG00000265194	0	0	0	0	0	1
ENSG00000265195	3	6	4	3	4	3
ENSG00000265201	0	0	0	0	0	0
ENSG00000265203	0	0	1	0	0	0
ENSG00000265204	0	0	0	0	0	0
ENSG00000265205	0	0	0	0	0	0
ENSG00000265206	239	379	270	360	363	472
ENSG00000265210	0	0	0	0	0	0
ENSG00000265213	0	0	0	0	0	0
ENSG00000265214	0	0	0	0	0	0
ENSG00000265215	0	0	0	0	0	0
ENSG00000265217	0	0	0	0	0	0
ENSG00000265218	6	5	1	1	2	0
ENSG00000265222	0	1	0	1	0	1
ENSG00000265226	0	0	0	0	0	0
ENSG00000265227	0	0	0	0	0	0
ENSG00000265233	0	0	0	0	0	0
ENSG00000265236	0	0	0	0	0	0
ENSG00000265237	0	0	0	0	0	0
ENSG00000265240	0	0	0	0	0	0
ENSG00000265241	1897	2220	1858	1986	2209	3219
ENSG00000265243	0	0	0	1	0	0
ENSG00000265246	0	0	0	2	0	0
ENSG00000265247	0	0	0	0	0	0
ENSG00000265251	0	0	0	0	0	0
ENSG00000265252	0	0	0	0	0	0
ENSG00000265253	0	1	0	3	0	1
ENSG00000265254	32	25	35	37	37	20
ENSG00000265257	0	0	0	0	0	0
ENSG00000265258	0	0	0	0	0	0
ENSG00000265260	0	0	1	0	0	0
ENSG00000265261	0	0	0	0	0	0
ENSG00000265262	0	0	0	0	0	0
ENSG00000265263	7	11	11	11	9	16
ENSG00000265265	0	0	0	0	0	0
ENSG00000265272	0	0	0	0	0	1
ENSG00000265273	0	0	0	0	1	1
ENSG00000265279	0	0	0	0	0	0
ENSG00000265281	0	0	2	0	0	0
ENSG00000265282	0	0	2	0	0	0
ENSG00000265284	0	0	0	0	0	0
ENSG00000265287	22	9	15	5	9	16
ENSG00000265289	1	0	0	0	0	0
ENSG00000265291	0	1	0	0	0	0
ENSG00000265293	0	0	0	0	0	0
ENSG00000265296	0	0	0	1	0	0
ENSG00000265298	0	1	0	1	0	0
ENSG00000265301	0	0	0	0	0	0
ENSG00000265303	0	0	0	0	0	0
ENSG00000265304	0	0	0	0	0	0
ENSG00000265306	0	0	0	0	0	0
ENSG00000265313	0	0	0	2	0	0
ENSG00000265315	0	0	0	0	0	0
ENSG00000265316	0	0	0	0	0	2
ENSG00000265319	0	0	0	0	0	0
ENSG00000265321	0	0	0	0	1	3
ENSG00000265322	0	0	0	0	0	0
ENSG00000265327	0	0	0	0	0	0
ENSG00000265328	0	0	0	0	0	0
ENSG00000265331	0	0	0	0	0	0
ENSG00000265333	0	0	0	0	0	0
ENSG00000265334	0	2	1	3	1	2
ENSG00000265337	0	0	0	0	0	0
ENSG00000265340	0	0	0	0	0	0
ENSG00000265342	0	0	0	2	0	2
ENSG00000265345	0	0	0	0	1	0
ENSG00000265347	0	0	0	0	0	0
ENSG00000265349	0	0	0	0	0	0
ENSG00000265352	0	0	0	0	0	0
ENSG00000265354	527	546	563	673	760	440
ENSG00000265355	11	17	17	20	14	4
ENSG00000265356	0	0	0	0	0	0
ENSG00000265357	0	1	0	0	0	0
ENSG00000265359	1	0	0	0	0	0
ENSG00000265366	1	1	3	2	0	4
ENSG00000265368	0	0	0	0	0	0
ENSG00000265369	0	0	0	0	1	0
ENSG00000265370	0	1	0	1	0	3
ENSG00000265372	0	0	0	0	0	0
ENSG00000265373	0	0	0	0	0	0
